SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22,,SD - outlier as % of mean,0.12,0.22
Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,,,Ratio of means,0.92364646,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,744.5,789,,Q1,617.935,654.87,,Q1,512.88605,543.5421,,Q1,425.6954215,451.139943,,Q1,353.3271998,374.4461527,,Q1,293.2615759,310.7903067,,Q1,243.407108,257.9559546,,Q1,202.0278996,214.1034423,,Q1,337.3865924,357.5527487,,Q1,563.4356092,597.1130903
Q3,792,939.5,,Q3,657.36,779.785,,Q3,545.6088,647.22155,,Q3,452.855304,537.1938865,,Q3,375.8699023,445.8709258,,Q3,311.9720189,370.0728684,,Q3,258.9367757,307.1604808,,Q3,214.9175238,254.943199,,Q3,358.9122648,425.7551424,,Q3,599.3834822,711.0110878
Q3-Q1,47.5,150.5,,Q3-Q1,39.425,124.915,,Q3-Q1,32.72275,103.67945,,Q3-Q1,27.1598825,86.0539435,,Q3-Q1,22.54270248,71.4247731,,Q3-Q1,18.71044305,59.28256168,,Q3-Q1,15.52966774,49.20452619,,Q3-Q1,12.88962422,40.83975674,,Q3-Q1,21.52567245,68.20239375,,Q3-Q1,35.94787299,113.8979976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower bound,673.25,563.25,,Lower bound,558.7975,467.4975,,Lower bound,463.801925,388.022925,,Lower bound,384.9555978,322.0590278,,Lower bound,319.5131461,267.308993,,Lower bound,265.1959113,221.8664642,,Lower bound,220.1126064,184.1491653,,Lower bound,182.6934633,152.8438072,,Lower bound,305.0980837,255.249158,,Lower bound,509.5137998,426.2660939
Upper bound,863.25,1165.25,,Upper bound,716.4975,967.1575,,Upper bound,594.692925,802.740725,,Upper bound,493.5951278,666.2748018,,Upper bound,409.683956,553.0080855,,Upper bound,340.0376835,458.9967109,,Upper bound,282.2312773,380.9672701,,Upper bound,234.2519602,316.2028342,,Upper bound,391.2007735,528.058733,,Upper bound,653.3052917,881.8580842
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low O Variable,134.65,112.65,,Low O Variable,111.7595,93.4995,,Low O Variable,92.760385,77.604585,,Low O Variable,76.99111955,64.41180555,,Low O Variable,63.90262923,53.46179861,,Low O Variable,53.03918226,44.37329284,,Low O Variable,44.02252127,36.82983306,,Low O Variable,36.53869266,30.56876144,,Low O Variable,61.01961674,51.0498316,,Low O Variable,101.90276,85.25321878
,538.6,450.6,,,447.038,373.998,,,371.04154,310.41834,,,307.9644782,257.6472222,,,255.6105169,213.8471944,,,212.156729,177.4931714,,,176.0900851,147.3193322,,,146.1547706,122.2750458,,,244.078467,204.1993264,,,407.6110398,341.0128751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Outlier ,579,503,,Low Outlier ,499,395,,Low Outlier ,427,352,,Low Outlier ,333,305,,Low Outlier ,314,245,,Low Outlier ,239,187,,Low Outlier ,209,178,,Low Outlier ,171,151,,Low Outlier ,258,215,,Low Outlier ,489,383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High O Variable,172.65,233.05,,High O Variable,143.2995,193.4315,,High O Variable,118.938585,160.548145,,High O Variable,98.71902555,133.2549604,,High O Variable,81.93679121,110.6016171,,High O Variable,68.0075367,91.79934219,,High O Variable,56.44625546,76.19345401,,High O Variable,46.85039203,63.24056683,,High O Variable,78.2401547,105.6117466,,High O Variable,130.6610583,176.3716168
,1035.9,1398.3,,,859.797,1160.589,,,713.63151,963.28887,,,592.3141533,799.5297621,,,491.6207472,663.6097025,,,408.0452202,550.7960531,,,338.6775328,457.1607241,,,281.1023522,379.443401,,,469.4409282,633.6704796,,,783.9663501,1058.229701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Outlier,882,1313,,High Outlier,852,1152,,High Outlier,615,858,,High Outlier,543,777,,High Outlier,466,568,,High Outlier,407,516,,High Outlier,285,440,,High Outlier,264,335,,High Outlier,430,612,,High Outlier,702,1040
