,One Outlier Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD - outlier as % of mean,0.1,0.15,,SD - outlier as % of mean,0.1,0.15,,SD - outlier as % of mean,0.1,0.15,,SD - outlier as % of mean,0.1,0.15,,SD - outlier as % of mean,0.1,0.1,,SD - outlier as % of mean,0.1,0.18,,SD - outlier as % of mean,0.09,0.15,,SD - outlier as % of mean,0.09,0.15,,SD - outlier as % of mean,0.09,0.15,,SD - outlier as % of mean,0.09,0.15,,SD - outlier as % of mean,0.09,0.14,,SD - outlier as % of mean,0.09,0.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,606,700.5,,Q1,424.2,490.35,,Q1,242.4,280.2,,Q1,163.62,189.135,,Q1,727.2,840.6,,Q1,509.04,588.42,,Q1,661,705.5,,Q1,462.7,493.85,,Q1,264.4,282.2,,Q1,178.47,190.485,,Q1,680.83,726.665,,Q1,555.24,592.62
Q3,681.5,767.5,,Q3,477.05,537.25,,Q3,272.6,307,,Q3,184.005,207.225,,Q3,817.8,921,,Q3,572.46,644.7,,Q3,732,801.75,,Q3,512.4,561.225,,Q3,292.8,320.7,,Q3,197.64,216.4725,,Q3,753.96,825.8025,,Q3,614.88,673.47
Q3-Q1,75.5,67,,Q3-Q1,52.85,46.9,,Q3-Q1,30.2,26.8,,Q3-Q1,20.385,18.09,,Q3-Q1,90.6,80.4,,Q3-Q1,63.42,56.28,,Q3-Q1,71,96.25,,Q3-Q1,49.7,67.375,,Q3-Q1,28.4,38.5,,Q3-Q1,19.17,25.9875,,Q3-Q1,73.13,99.1375,,Q3-Q1,59.64,80.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower bound,492.75,600,,Lower bound,344.925,420,,Lower bound,197.1,240,,Lower bound,133.0425,162,,Lower bound,591.3,720,,Lower bound,413.91,504,,Lower bound,554.5,561.125,,Lower bound,388.15,392.7875,,Lower bound,221.8,224.45,,Lower bound,149.715,151.50375,,Lower bound,571.135,577.95875,,Lower bound,465.78,471.345
Upper bound,794.75,868,,Upper bound,556.325,607.6,,Upper bound,317.9,347.2,,Upper bound,214.5825,234.36,,Upper bound,953.7,1041.6,,Upper bound,667.59,729.12,,Upper bound,838.5,946.125,,Upper bound,586.95,662.2875,,Upper bound,335.4,378.45,,Upper bound,226.395,255.45375,,Upper bound,863.655,974.50875,,Upper bound,704.34,794.745
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low O Variable,98.55,120,,Low O Variable,68.985,84,,Low O Variable,39.42,48,,Low O Variable,26.6085,32.4,,Low O Variable,118.26,144,,Low O Variable,82.782,100.8,,Low O Variable,110.9,112.225,,Low O Variable,77.63,78.5575,,Low O Variable,44.36,44.89,,Low O Variable,29.943,30.30075,,Low O Variable,114.227,115.59175,,Low O Variable,93.156,94.269
,394.2,480,,,275.94,336,,,157.68,192,,,106.434,129.6,,,473.04,576,,,331.128,403.2,,,443.6,448.9,,,310.52,314.23,,,177.44,179.56,,,119.772,121.203,,,456.908,462.367,,,372.624,377.076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Outlier ,479,585,,Low Outlier ,294,383,,Low Outlier ,171,200,,Low Outlier ,133,144,,Low Outlier ,481,707,,Low Outlier ,343,450,,Low Outlier ,522,460,,Low Outlier ,387,337,,Low Outlier ,217,214,,Low Outlier ,134,129,,Low Outlier ,503,477,,Low Outlier ,402,405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High O Variable,158.95,173.6,,High O Variable,111.265,121.52,,High O Variable,63.58,69.44,,High O Variable,42.9165,46.872,,High O Variable,190.74,208.32,,High O Variable,133.518,145.824,,High O Variable,167.7,189.225,,High O Variable,117.39,132.4575,,High O Variable,67.08,75.69,,High O Variable,45.279,51.09075,,High O Variable,172.731,194.90175,,High O Variable,140.868,158.949
,953.7,1041.6,,,667.59,729.12,,,381.48,416.64,,,257.499,281.232,,,1144.44,1249.92,,,801.108,874.944,,,1006.2,1135.35,,,704.34,794.745,,,402.48,454.14,,,271.674,306.5445,,,1036.386,1169.4105,,,845.208,953.694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Outlier,869,870,,High Outlier,600,729,,High Outlier,366,378,,High Outlier,226,242,,High Outlier,1083,1152,,High Outlier,729,806,,High Outlier,986,1011,,High Outlier,698,719,,High Outlier,340,437,,High Outlier,235,261,,High Outlier,1006,1133,,High Outlier,709,925
